市町村名,2017年_総人口,2018年_総人口,2019年_総人口,2020年_総人口,2021年_総人口,2022年_総人口,2023年_総人口,2024年_総人口,2025年_総人口,2017年_男,2018年_男,2019年_男,2020年_男,2021年_男,2022年_男,2023年_男,2024年_男,2025年_男,2017年_女,2018年_女,2019年_女,2020年_女,2021年_女,2022年_女,2023年_女,2024年_女,2025年_女
山形村,8368,8406,8377,8314,8400,8321,8270,8260,8223,4118,4123,4103,4074,4116,4069,4050,4054,4024,4250,4283,4274,4240,4284,4252,4220,4206,4199
朝日村,4447,4411,4380,4366,4249,4176,4130,4088,4033,2178,2178,2170,2158,2099,2046,2021,2008,1975,2269,2233,2210,2208,2150,2130,2109,2080,2058
筑北村,4592,4511,4378,4232,4145,4082,3985,3858,3788,2274,2236,2166,2089,2037,2010,1963,1908,1879,2318,2275,2212,2143,2108,2072,2022,1950,1909
池田町,9802,9687,9491,9437,9357,9225,9049,8907,8782,4671,4630,4526,4540,4539,4480,4369,4308,4261,5131,5057,4965,4897,4818,4745,4680,4599,4521
松川村,9860,9768,9686,9583,9598,9557,9500,9477,9541,4719,4667,4636,4587,4608,4591,4572,4550,4592,5141,5101,5050,4996,4990,4966,4928,4927,4949
白馬村,9207,9223,9422,9462,8617,8473,8743,9117,9486,4628,4645,4786,4816,4298,4232,4380,4621,4759,4579,4578,4636,4646,4319,4241,4363,4496,4727
小谷村,2873,2820,2817,2801,2637,2565,2592,2594,2679,1447,1420,1429,1418,1364,1336,1350,1358,1410,1426,1400,1388,1383,1273,1229,1242,1236,1269
坂城町,14583,14524,14416,14270,13915,13642,13494,13365,13108,7149,7134,7113,7041,6882,6717,6664,6641,6497,7434,7390,7303,7229,7033,6925,6830,6724,6611
小布施町,10596,10550,10490,10517,10685,10673,10649,10648,10642,5077,5061,5046,5066,5130,5102,5097,5076,5066,5519,5489,5444,5451,5555,5571,5552,5572,5576
高山村,6920,6858,6789,6692,6597,6462,6390,6266,6154,3409,3378,3340,3298,3232,3179,3151,3097,3030,3511,3480,3449,3394,3365,3283,3239,3169,3124
山ノ内町,12243,11999,11689,11527,11318,11038,10853,10756,10587,5924,5814,5656,5593,5513,5383,5270,5219,5155,6319,6185,6033,5934,5805,5655,5583,5537,5432
木島平村,4590,4501,4460,4364,4354,4285,4216,4140,4014,2217,2165,2153,2101,2106,2084,2053,2016,1947,2373,2336,2307,2263,2248,2201,2163,2124,2067
野沢温泉村,3517,3502,3510,3526,3293,3228,3217,3300,3358,1678,1683,1702,1707,1584,1552,1552,1603,1622,1839,1819,1808,1819,1709,1676,1665,1697,1736
信濃町,8295,8090,7922,7702,7743,7565,7473,7341,7203,4055,3970,3901,3802,3803,3720,3689,3609,3541,4240,4120,4021,3900,3940,3845,3784,3732,3662
飯綱町,10870,10639,10494,10334,10272,10131,9952,9782,9690,5266,5150,5109,5022,5011,4956,4854,4770,4749,5604,5489,5385,5312,5261,5175,5098,5012,4941
小川村,2549,2511,2441,2342,2219,2186,2147,2096,2031,1238,1232,1189,1144,1104,1095,1070,1051,1016,1311,1279,1252,1198,1115,1091,1077,1045,1015
栄村,1899,1819,1742,1686,1649,1595,1545,1494,1463,919,890,843,824,791,759,731,708,696,980,929,899,862,858,836,814,786,767
