市町村名,年,総人口,男,女
南木曽町,2020,3953,1908,2045
南木曽町,2021,3906,1897,2009
南木曽町,2022,3862,1876,1986
南木曽町,2023,3768,1841,1927
南木曽町,2024,3663,1794,1869
南木曽町,2025,3572,1757,1815
木曽町,2017,11519,5595,5924
木曽町,2018,11252,5464,5788
木曽町,2019,11007,5361,5646
木曽町,2020,10765,5258,5507
木曽町,2021,10519,5128,5391
木曽町,2022,10318,5020,5298
木曽町,2023,10112,4907,5205
木曽町,2024,9924,4808,5116
木曽町,2025,9709,4740,4969
木祖村,2017,2870,1313,1557
木祖村,2018,2803,1283,1520
木祖村,2019,2775,1267,1508
木祖村,2020,2693,1231,1462
木祖村,2021,2667,1219,1448
木祖村,2022,2612,1198,1414
木祖村,2023,2533,1164,1369
木祖村,2024,2475,1138,1337
木祖村,2025,2412,1101,1311
王滝村,2017,806,369,437
王滝村,2018,778,367,411
王滝村,2019,760,360,400
王滝村,2020,736,346,390
王滝村,2021,732,354,378
王滝村,2022,713,344,369
王滝村,2023,681,326,355
王滝村,2024,657,313,344
王滝村,2025,639,302,337
大桑村,2017,3725,1808,1917
大桑村,2018,3674,1779,1895
大桑村,2019,3578,1736,1842
大桑村,2020,3482,1704,1778
大桑村,2021,3429,1677,1752
大桑村,2022,3348,1639,1709
大桑村,2023,3257,1587,1670
大桑村,2024,3182,1556,1626
大桑村,2025,3066,1521,1545
麻績村,2017,2756,1293,1463
麻績村,2018,2713,1279,1434
麻績村,2019,2648,1262,1386
麻績村,2020,2603,1239,1364
麻績村,2021,2569,1204,1365
麻績村,2022,2481,1173,1308
麻績村,2023,2435,1154,1281
麻績村,2024,2368,1127,1241
麻績村,2025,2311,1102,1209
生坂村,2017,1791,869,922
生坂村,2018,1743,842,901
生坂村,2019,1676,813,863
生坂村,2020,1663,815,848
生坂村,2021,1639,818,821
生坂村,2022,1621,810,811
生坂村,2023,1615,810,805
生坂村,2024,1567,784,783
生坂村,2025,1531,772,759
山形村,2017,8368,4118,4250
山形村,2018,8406,4123,4283
山形村,2019,8377,4103,4274
山形村,2020,8314,4074,4240
山形村,2021,8400,4116,4284
山形村,2022,8321,4069,4252
山形村,2023,8270,4050,4220
山形村,2024,8260,4054,4206
山形村,2025,8223,4024,4199
朝日村,2017,4447,2178,2269
朝日村,2018,4411,2178,2233
朝日村,2019,4380,2170,2210
朝日村,2020,4366,2158,2208
朝日村,2021,4249,2099,2150
朝日村,2022,4176,2046,2130
朝日村,2023,4130,2021,2109
朝日村,2024,4088,2008,2080
朝日村,2025,4033,1975,2058
筑北村,2017,4592,2274,2318
筑北村,2018,4511,2236,2275
筑北村,2019,4378,2166,2212
筑北村,2020,4232,2089,2143
筑北村,2021,4145,2037,2108
筑北村,2022,4082,2010,2072
筑北村,2023,3985,1963,2022
筑北村,2024,3858,1908,1950
筑北村,2025,3788,1879,1909
池田町,2017,9802,4671,5131
池田町,2018,9687,4630,5057
池田町,2019,9491,4526,4965
池田町,2020,9437,4540,4897
池田町,2021,9357,4539,4818
池田町,2022,9225,4480,4745
池田町,2023,9049,4369,4680
池田町,2024,8907,4308,4599
池田町,2025,8782,4261,4521
松川村,2017,9860,4719,5141
松川村,2018,9768,4667,5101
松川村,2019,9686,4636,5050
松川村,2020,9583,4587,4996
松川村,2021,9598,4608,4990
松川村,2022,9557,4591,4966
松川村,2023,9500,4572,4928
松川村,2024,9477,4550,4927
松川村,2025,9541,4592,4949
白馬村,2017,9207,4628,4579
白馬村,2018,9223,4645,4578
白馬村,2019,9422,4786,4636
白馬村,2020,9462,4816,4646
白馬村,2021,8617,4298,4319
白馬村,2022,8473,4232,4241
白馬村,2023,8743,4380,4363
白馬村,2024,9117,4621,4496
白馬村,2025,9486,4759,4727
小谷村,2017,2873,1447,1426
小谷村,2018,2820,1420,1400
小谷村,2019,2817,1429,1388
小谷村,2020,2801,1418,1383
小谷村,2021,2637,1364,1273
小谷村,2022,2565,1336,1229
小谷村,2023,2592,1350,1242
小谷村,2024,2594,1358,1236
小谷村,2025,2679,1410,1269
坂城町,2017,14583,7149,7434
坂城町,2018,14524,7134,7390
坂城町,2019,14416,7113,7303
坂城町,2020,14270,7041,7229
坂城町,2021,13915,6882,7033
坂城町,2022,13642,6717,6925
坂城町,2023,13494,6664,6830
坂城町,2024,13365,6641,6724
坂城町,2025,13108,6497,6611
小布施町,2017,10596,5077,5519
小布施町,2018,10550,5061,5489
小布施町,2019,10490,5046,5444
小布施町,2020,10517,5066,5451
小布施町,2021,10685,5130,5555
小布施町,2022,10673,5102,5571
小布施町,2023,10649,5097,5552
小布施町,2024,10648,5076,5572
小布施町,2025,10642,5066,5576
高山村,2017,6920,3409,3511
高山村,2018,6858,3378,3480
高山村,2019,6789,3340,3449
高山村,2020,6692,3298,3394
高山村,2021,6597,3232,3365
高山村,2022,6462,3179,3283
高山村,2023,6390,3151,3239
高山村,2024,6266,3097,3169
高山村,2025,6154,3030,3124
山ノ内町,2017,12243,5924,6319
山ノ内町,2018,11999,5814,6185
山ノ内町,2019,11689,5656,6033
山ノ内町,2020,11527,5593,5934
山ノ内町,2021,11318,5513,5805
山ノ内町,2022,11038,5383,5655
山ノ内町,2023,10853,5270,5583
山ノ内町,2024,10756,5219,5537
山ノ内町,2025,10587,5155,5432
木島平村,2017,4590,2217,2373
木島平村,2018,4501,2165,2336
木島平村,2019,4460,2153,2307
木島平村,2020,4364,2101,2263
木島平村,2021,4354,2106,2248
木島平村,2022,4285,2084,2201
木島平村,2023,4216,2053,2163
木島平村,2024,4140,2016,2124
木島平村,2025,4014,1947,2067
野沢温泉村,2017,3517,1678,1839
野沢温泉村,2018,3502,1683,1819
野沢温泉村,2019,3510,1702,1808
野沢温泉村,2020,3526,1707,1819
野沢温泉村,2021,3293,1584,1709
野沢温泉村,2022,3228,1552,1676
野沢温泉村,2023,3217,1552,1665
野沢温泉村,2024,3300,1603,1697
野沢温泉村,2025,3358,1622,1736
信濃町,2017,8295,4055,4240
信濃町,2018,8090,3970,4120
信濃町,2019,7922,3901,4021
信濃町,2020,7702,3802,3900
信濃町,2021,7743,3803,3940
信濃町,2022,7565,3720,3845
信濃町,2023,7473,3689,3784
信濃町,2024,7341,3609,3732
信濃町,2025,7203,3541,3662
飯綱町,2017,10870,5266,5604
飯綱町,2018,10639,5150,5489
飯綱町,2019,10494,5109,5385
飯綱町,2020,10334,5022,5312
飯綱町,2021,10272,5011,5261
飯綱町,2022,10131,4956,5175
飯綱町,2023,9952,4854,5098
飯綱町,2024,9782,4770,5012
飯綱町,2025,9690,4749,4941
小川村,2017,2549,1238,1311
小川村,2018,2511,1232,1279
小川村,2019,2441,1189,1252
小川村,2020,2342,1144,1198
小川村,2021,2219,1104,1115
小川村,2022,2186,1095,1091
小川村,2023,2147,1070,1077
小川村,2024,2096,1051,1045
小川村,2025,2031,1016,1015
栄村,2017,1899,919,980
栄村,2018,1819,890,929
栄村,2019,1742,843,899
栄村,2020,1686,824,862
栄村,2021,1649,791,858
栄村,2022,1595,759,836
栄村,2023,1545,731,814
栄村,2024,1494,708,786
栄村,2025,1463,696,767
